"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A_B",0.111471270589569,"637b9b3f4d1cbb1a10c07817619cdf69",0.899489284303059,0.937234718324593,"NA","0.167705128205128","0.180367663397112","0.165957317073171","0.180677657196447"
"2","A_B",0.031123539070808,"13fd69b1cb0f7c285dee17806974290f",0.000790907861517939,0.00158181572303588,"NA","0.0466692307692308","0.0975231764764148","0.0174731707317073","0.0387769183247021"
"3","A_B",0.023957866290242,"8288851f251eebdef1f667427dc6ae0e",0.156770447507946,0.188124537009536,"NA","0.0289461538461538","0.081690155334174","0.0161560975609756","0.0352507669037002"
"4","A_B",0.022609755546925,"b3790a09856aae5be2d130689fd3fb05",0.193744843010783,0.21796294838713,"NA","0.0231102564102564","0.0320085280427868","0.0331768292682927","0.0409408766688616"
"5","A_B",0.016694789029739,"dcfd90aa2fd3ae4cecc831902af00185",0.120445872782196,0.154858979291395,"NA","0.0214333333333333","0.0384851081560589","0.0152719512195122","0.0242334799241083"
"6","A_B",0.015869715787928,"9d30df1c09b60bb791f16b9f769c6335",0.09958494911194,0.137886852616532,"NA","0.00468846153846154","0.020873608396071","0.0228134146341463","0.078070804777245"
"7","A_B",0.015145816048337,"64ce9f70153102d035d800f996570cff",0.937234718324593,0.937234718324593,"NA","0.0197564102564103","0.0498872952875001","0.0102378048780488","0.0230206865652779"
"8","A_B",0.014174017433974,"62727dc7f1b9c5878de3da94b2977f05",0.0392920890417532,0.064296145704687,"NA","0.0133217948717949","0.0203063463142117","0.0194963414634146","0.0377344700951722"
"9","A_B",0.01372125887324,"7b46269976203c4b677141e236344faf",0.108582124181581,0.144776165575442,"NA","0.0200679487179487","0.0622718829081986","0.00357439024390244","0.0141918409090942"
"10","A_B",0.012792537518618,"f8aeec3c1ff0f4e7e1c829e4db0618d9",0.47093886526294,0.513751489377753,"NA","0.0171833333333333","0.0574291713209822","0.0059890243902439","0.0147728730883112"
"11","A_B",0.011030329246178,"945184b6386c192c0066e0a98a154780",0.17561423123797,0.203939107244095,"NA","0.0159333333333333","0.0304384653548791","0.00759024390243902","0.0134371845389888"
"12","A_B",0.010838642102743,"4d72007c70f4abc0bf9e8fe8b826d07d",0.000539729859362074,0.00114295734923733,"NA","0.0100102564102564","0.0223910092679472","0.0121731707317073","0.0290030013294941"
"13","A_B",0.010725818895281,"b0a51bde90614b6958f269afbe9a5b4a",1.00457617201261e-05,2.58319587088957e-05,"NA","0.00584230769230769","0.00902238945559941","0.0178951219512195","0.0229488314473691"
"14","A_B",0.010721612057277,"dd78b6b4c49b1a8c83214298dd4f9716",0.00116398195922731,0.00209516752660916,"NA","0.00883589743589744","0.0585615737102233","0.00968414634146341","0.047176496736447"
"15","A_B",0.010394297218017,"38e6590dd91eb0b5561b608de27426eb",0.0946556618894015,0.136304153120738,"NA","0.0100679487179487","0.0177782553129198","0.0150048780487805","0.0199914790640945"
"16","A_B",0.01017177261953,"a0fbc6ac98012bb1b625e610aa135505",4.27418311256607e-05,9.61691200327365e-05,"NA","0.0034","0.0152758871190097","0.0139182926829268","0.0657146828173873"
"17","A_C",0.0882327907640105,"637b9b3f4d1cbb1a10c07817619cdf69",5.84521257455671e-18,3.00610932405774e-17,"NA","0.167705128205128","0.180367663397112","0.0207817073170732","0.0487026379695929"
"18","A_C",0.0269578608767735,"afc9946b7c28e2e6500fd5f3e51c8f64",7.64466073443021e-27,2.75207786439487e-25,"NA","0.000591025641025641","0.00262174651302424","0.0495353658536585","0.0629985015929023"
"19","A_C",0.02521828729323,"13fd69b1cb0f7c285dee17806974290f",7.77357476651431e-18,3.49810864493144e-17,"NA","0.0466692307692308","0.0975231764764148","0.00103048780487805","0.00174509464346902"
"20","A_C",0.021200507584099,"0dbf3aec3a34b218a94919344c9110ad",7.75331420987949e-21,6.97798278889154e-20,"NA","0.00146794871794872","0.00750166204250321","0.0385768292682927","0.0570021773436867"
"21","A_C",0.01691853833502,"5b25fa59e570b8ffdf778f7f8156d946",1.675502427207e-24,3.0159043689726e-23,"NA","0.00203333333333333","0.00547887718771787","0.0322939024390244","0.0251469279843899"
"22","A_C",0.015866443957354,"8288851f251eebdef1f667427dc6ae0e",1.75060883555993e-09,5.25182650667979e-09,"NA","0.0289461538461538","0.081690155334174","0.000159756097560976","0.000398100352165706"
"23","A_C",0.013587826321577,"dcfd90aa2fd3ae4cecc831902af00185",0.0797542395592441,0.119631359338866,"NA","0.0214333333333333","0.0384851081560589","0.0104353658536585","0.0183530827763448"
"24","A_C",0.013458560684138,"b3790a09856aae5be2d130689fd3fb05",4.87676152831324e-09,1.35048780784059e-08,"NA","0.0231102564102564","0.0320085280427868","0.00641707317073171","0.0179273692745392"
"25","A_C",0.011026501187447,"7b46269976203c4b677141e236344faf",0.0711872542940247,0.111423528460213,"NA","0.0200679487179487","0.0622718829081986","0.00011219512195122","0.000265920364902235"
"26","A_C",0.010785973483244,"64ce9f70153102d035d800f996570cff",2.06109340411113e-05,4.94662416986671e-05,"NA","0.0197564102564103","0.0498872952875001","0.000659756097560976","0.00114232379099837"
"27","A_C",0.010236161581121,"945184b6386c192c0066e0a98a154780",0.00337725810305021,0.00578958531951465,"NA","0.0159333333333333","0.0304384653548791","0.00719512195121951","0.0157532117237906"
"28","B_C",0.0899937080067776,"637b9b3f4d1cbb1a10c07817619cdf69",1.30583373477546e-17,5.22333493910186e-17,"NA","0.165957317073171","0.180677657196447","0.0207817073170732","0.0487026379695929"
"29","B_C",0.0274452068393954,"afc9946b7c28e2e6500fd5f3e51c8f64",4.06573679885907e-22,4.87888415863088e-21,"NA","0.00293048780487805","0.00924687052866663","0.0495353658536585","0.0629985015929023"
"30","B_C",0.02258612670362,"0dbf3aec3a34b218a94919344c9110ad",1.16838549087048e-18,7.01031294522287e-18,"NA","0.00399512195121951","0.0205577410396087","0.0385768292682927","0.0570021773436867"
"31","B_C",0.019083111268356,"b3790a09856aae5be2d130689fd3fb05",2.25086700304424e-10,7.36647382814478e-10,"NA","0.0331768292682927","0.0409408766688616","0.00641707317073171","0.0179273692745392"
"32","B_C",0.01638456813609,"5b25fa59e570b8ffdf778f7f8156d946",4.41932927065569e-20,3.1819170748721e-19,"NA","0.00482439024390244","0.00772756107972569","0.0322939024390244","0.0251469279843899"
"33","B_C",0.012928649518312,"9d30df1c09b60bb791f16b9f769c6335",1.17191984003523e-14,4.21891142412682e-14,"NA","0.0228134146341463","0.078070804777245","0","0"
"34","B_C",0.011564881437133,"62727dc7f1b9c5878de3da94b2977f05",0.000920085287954984,0.00174331949296734,"NA","0.0194963414634146","0.0377344700951722","0.00869878048780488","0.0140638534478667"
"35","B_C",0.010895968406228,"b0a51bde90614b6958f269afbe9a5b4a",0.132754683555145,0.164798917516732,"NA","0.0178951219512195","0.0229488314473691","0.0109609756097561","0.0183321195294991"
"36","B_C",0.010210198962477,"dcfd90aa2fd3ae4cecc831902af00185",0.914869037771699,0.937234718324593,"NA","0.0152719512195122","0.0242334799241083","0.0104353658536585","0.0183530827763448"
